time,open,high,low,close
2023-01-03,0.163269,0.167662,0.163269,0.167662
2023-01-07,0.164859,0.190703,0.164859,0.190703
2023-01-11,0.208853,0.233204,0.204578,0.233204
2023-01-15,0.221415,0.263717,0.221415,0.263717
2023-01-19,0.265356,0.283522,0.248837,0.274099
2023-01-23,0.266169,0.320539,0.266169,0.312139
2023-01-27,0.358477,0.373332,0.358477,0.373332
2023-01-31,0.386671,0.389599,0.349368,0.349368
2023-02-03,0.350112,0.373603,0.350112,0.359257
2023-02-07,0.390005,0.448536,0.390005,0.448536
2023-02-11,0.522183,0.522183,0.439222,0.446362
2023-02-15,0.456188,0.473711,0.418864,0.473711
2023-02-19,0.50338,0.50338,0.444625,0.481201
2023-02-23,0.461686,0.463059,0.449108,0.450597
2023-02-27,0.437895,0.437895,0.390667,0.405089
2023-02-28,0.398593,0.421084,0.386778,0.401771
2023-03-07,0.378268,0.395198,0.370234,0.395198
2023-03-11,0.373954,0.373954,0.311542,0.34572
2023-03-15,0.340779,0.421679,0.340779,0.421679
2023-03-19,0.38954,0.426217,0.38954,0.392266
2023-03-23,0.400714,0.400714,0.360369,0.360369
2023-03-27,0.375486,0.375486,0.346353,0.357094
2023-03-31,0.331327,0.354497,0.331327,0.345885
2023-04-03,0.358853,0.358853,0.344994,0.344994
2023-04-07,0.344295,0.360222,0.344295,0.357737
2023-04-11,0.359752,0.373703,0.35584,0.373703
2023-04-15,0.382523,0.426395,0.382523,0.426395
2023-04-19,0.419785,0.438855,0.414952,0.438855
2023-04-23,0.387926,0.387926,0.367929,0.371273
2023-04-27,0.36318,0.377188,0.359065,0.359065
2023-04-30,0.374413,0.381497,0.371314,0.381497
2023-05-03,0.366761,0.366761,0.355488,0.355488
2023-05-07,0.362427,0.362427,0.339023,0.339023
2023-05-11,0.336037,0.336037,0.319349,0.332885
2023-05-15,0.323578,0.340297,0.323578,0.334242
2023-05-19,0.332099,0.335497,0.326912,0.329026
2023-05-23,0.34174,0.34174,0.321333,0.321333
2023-05-27,0.334964,0.346726,0.325253,0.346726
2023-05-31,0.351429,0.385619,0.34764,0.385619
2023-06-03,0.375258,0.410385,0.375258,0.410385
2023-06-07,0.409484,0.409484,0.35592,0.365728
2023-06-11,0.33709,0.341959,0.281082,0.281082
2023-06-15,0.292477,0.299618,0.287391,0.287391
2023-06-19,0.331816,0.33342,0.322635,0.322635
2023-06-23,0.335862,0.355597,0.335862,0.346925
2023-06-27,0.356552,0.356552,0.330836,0.330836
2023-06-30,0.33864,0.33864,0.315546,0.315546
2023-07-03,0.322437,0.330861,0.322437,0.324943
2023-07-07,0.335308,0.343673,0.322916,0.322916
2023-07-11,0.371816,0.382131,0.36543,0.36543
2023-07-15,0.361142,0.374818,0.359797,0.37088
2023-07-19,0.383501,0.40253,0.383501,0.390768
2023-07-23,0.384034,0.384034,0.366813,0.366813
2023-07-27,0.367893,0.367893,0.347931,0.349747
2023-07-31,0.35746,0.357666,0.350876,0.350876
2023-08-03,0.346924,0.350867,0.343553,0.343553
2023-08-07,0.342295,0.342295,0.339253,0.340837
2023-08-11,0.337861,0.343642,0.337861,0.343406
2023-08-15,0.345864,0.351257,0.339593,0.351257
2023-08-19,0.326646,0.326646,0.289042,0.300095
2023-08-23,0.307995,0.308793,0.297387,0.297387
2023-08-27,0.307333,0.319158,0.307333,0.313296
2023-08-31,0.314209,0.330343,0.314209,0.330343
2023-09-03,0.322125,0.322125,0.309682,0.319036
2023-09-07,0.325161,0.326423,0.325099,0.326366
2023-09-11,0.328537,0.332052,0.311153,0.311153
2023-09-15,0.307535,0.313291,0.307535,0.313291
2023-09-19,0.317859,0.319464,0.311358,0.314239
2023-09-23,0.321674,0.329581,0.321674,0.329581
2023-09-27,0.328848,0.328848,0.317964,0.319035
2023-09-30,0.314228,0.317551,0.314228,0.317551
2023-10-03,0.323007,0.333248,0.311777,0.311777
2023-10-07,0.307029,0.307029,0.299607,0.304007
2023-10-11,0.302858,0.302858,0.282137,0.282137
2023-10-15,0.284411,0.287662,0.284411,0.287662
2023-10-19,0.2955,0.2955,0.277396,0.277396
2023-10-23,0.277262,0.292663,0.277262,0.292663
2023-10-27,0.313287,0.334512,0.313287,0.334512
2023-10-31,0.343541,0.385606,0.343541,0.385606
2023-11-03,0.374308,0.402737,0.374308,0.393547
2023-11-07,0.415393,0.426611,0.407102,0.426611
2023-11-11,0.398604,0.42149,0.398604,0.42149
2023-11-15,0.418741,0.43275,0.3852,0.3852
2023-11-19,0.425853,0.425853,0.405174,0.405174
2023-11-23,0.463478,0.472089,0.43038,0.454751
2023-11-27,0.433904,0.463324,0.433904,0.449757
2023-11-30,0.431915,0.439435,0.425528,0.425528
2023-12-03,0.474317,0.487757,0.474317,0.487757
2023-12-07,0.505056,0.539819,0.505056,0.507855
2023-12-11,0.518723,0.531774,0.502709,0.513478
2023-12-15,0.476772,0.54529,0.476772,0.54529
2023-12-19,0.530177,0.530177,0.501068,0.507857
2023-12-23,0.498092,0.543098,0.498092,0.543098
2023-12-27,0.553049,0.563747,0.52499,0.561256
2023-12-31,0.558799,0.558799,0.514239,0.514239
2024-01-03,0.506784,0.506784,0.506784,0.506784
