time,open,high,low,close
2023-01-03,0.28749,0.304506,0.28749,0.304506
2023-01-07,0.328985,0.451186,0.328985,0.451186
2023-01-11,0.453876,0.453876,0.388042,0.413388
2023-01-15,0.423393,0.545881,0.423393,0.505522
2023-01-19,0.496643,0.51792,0.427515,0.427515
2023-01-23,0.442692,0.491716,0.442692,0.491716
2023-01-27,0.499576,0.499576,0.462231,0.469529
2023-01-31,0.455437,0.478983,0.433223,0.433223
2023-02-03,0.453972,0.469959,0.453972,0.469959
2023-02-07,0.467222,0.467222,0.415887,0.415887
2023-02-11,0.456264,0.456264,0.400915,0.42283
2023-02-15,0.411025,0.42081,0.403324,0.404613
2023-02-19,0.435165,0.435165,0.387171,0.387171
2023-02-23,0.381244,0.38276,0.358576,0.363547
2023-02-27,0.38336,0.38336,0.365791,0.378739
2023-02-28,0.386852,0.393827,0.363546,0.363546
2023-03-07,0.361686,0.361686,0.338534,0.338534
2023-03-11,0.336771,0.336771,0.2897,0.2897
2023-03-15,0.286147,0.339895,0.286147,0.319659
2023-03-19,0.319404,0.340678,0.318722,0.318722
2023-03-23,0.307099,0.307099,0.291884,0.291884
2023-03-27,0.305424,0.343426,0.305424,0.340972
2023-03-31,0.334877,0.377328,0.334877,0.377328
2023-04-03,0.40052,0.40052,0.371364,0.371364
2023-04-07,0.340921,0.34171,0.33665,0.33665
2023-04-11,0.342101,0.374701,0.342101,0.363382
2023-04-15,0.354813,0.375604,0.354813,0.37202
2023-04-19,0.369861,0.380417,0.360483,0.364972
2023-04-23,0.358628,0.358628,0.33431,0.33431
2023-04-27,0.366978,0.366978,0.321313,0.321313
2023-04-30,0.338773,0.338773,0.321712,0.321712
2023-05-03,0.303824,0.303824,0.28624,0.289591
2023-05-07,0.289306,0.289306,0.255209,0.255209
2023-05-11,0.263055,0.263055,0.212617,0.228883
2023-05-15,0.215412,0.215412,0.19725,0.198246
2023-05-19,0.204517,0.204517,0.174581,0.174581
2023-05-23,0.17388,0.17388,0.136694,0.136694
2023-05-27,0.171352,0.171352,0.156865,0.156865
2023-05-31,0.149126,0.149126,0.142523,0.144215
2023-06-03,0.136067,0.139244,0.1345,0.139244
2023-06-07,0.138035,0.138035,0.115497,0.119568
2023-06-11,0.114484,0.114484,0.096443,0.096443
2023-06-15,0.099031,0.101022,0.092483,0.092483
2023-06-19,0.097626,0.104566,0.095831,0.100106
2023-06-23,0.099623,0.103746,0.099623,0.103746
2023-06-27,0.096705,0.099965,0.095945,0.095945
2023-06-30,0.094333,0.094333,0.092003,0.092157
2023-07-03,0.087907,0.098019,0.087907,0.095575
2023-07-07,0.094891,0.094891,0.089178,0.091797
2023-07-11,0.091961,0.095372,0.089609,0.08984
2023-07-15,0.085401,0.093463,0.085401,0.093463
2023-07-19,0.094427,0.094427,0.086126,0.086126
2023-07-23,0.085617,0.085617,0.081621,0.081621
2023-07-27,0.080016,0.080016,0.077813,0.079426
2023-07-31,0.079091,0.081345,0.077496,0.079586
2023-08-03,0.077485,0.079542,0.076219,0.076219
2023-08-07,0.07423,0.07423,0.07323,0.07323
2023-08-11,0.072457,0.072457,0.071378,0.071598
2023-08-15,0.070563,0.07084,0.068632,0.068632
2023-08-19,0.064369,0.064369,0.059405,0.059405
2023-08-23,0.062154,0.062154,0.057129,0.057129
2023-08-27,0.057946,0.058771,0.057096,0.058771
2023-08-31,0.058754,0.062699,0.058754,0.062414
2023-09-03,0.059222,0.059222,0.054892,0.054892
2023-09-07,0.054851,0.056684,0.054851,0.056684
2023-09-11,0.058163,0.062636,0.058163,0.062636
2023-09-15,0.06265,0.080621,0.06265,0.079491
2023-09-19,0.091635,0.091635,0.080728,0.080728
2023-09-23,0.081358,0.081358,0.076489,0.077746
2023-09-27,0.075824,0.077474,0.073312,0.073312
2023-09-30,0.071005,0.074548,0.071005,0.074548
2023-10-03,0.074524,0.075409,0.073076,0.073076
2023-10-07,0.071209,0.071209,0.066917,0.066917
2023-10-11,0.062357,0.062357,0.059035,0.059035
2023-10-15,0.059339,0.059447,0.057753,0.057753
2023-10-19,0.05759,0.05797,0.056462,0.056462
2023-10-23,0.052069,0.055224,0.052069,0.055224
2023-10-27,0.054339,0.05493,0.05413,0.054733
2023-10-31,0.054239,0.061487,0.054239,0.061487
2023-11-03,0.062129,0.067073,0.060729,0.060729
2023-11-07,0.061397,0.091365,0.061397,0.091365
2023-11-11,0.074924,0.079967,0.074924,0.079967
2023-11-15,0.082527,0.082527,0.077018,0.077018
2023-11-19,0.079679,0.080667,0.078702,0.080667
2023-11-23,0.080968,0.080968,0.07525,0.07525
2023-11-27,0.070778,0.073257,0.070608,0.073088
2023-11-30,0.071055,0.075262,0.071055,0.075262
2023-12-03,0.078701,0.088379,0.078701,0.088379
2023-12-07,0.086863,0.092673,0.086863,0.092673
2023-12-11,0.113183,0.11975,0.113183,0.116377
2023-12-15,0.110602,0.138829,0.110602,0.138829
2023-12-19,0.151465,0.178811,0.151465,0.167222
2023-12-23,0.155368,0.161899,0.150863,0.156616
2023-12-27,0.131946,0.138848,0.131946,0.13864
2023-12-31,0.184372,0.184372,0.129678,0.129678
2024-01-03,0.127144,0.127144,0.127144,0.127144
